"REGIÃO
ASSISTENCIAL";MICRORREGIÃO;MUNICIPIO;RAMO_ATIVIDADE;NUM_CONTRATO;CPF_CNPJ;NOME;INICIO_VIGENCIA;FIM_VIGENCIA;PERIODO REFERENCIA
CENTRO;PEDRO LEOPOLDO;MATOZINHOS;CLINICA;6032025;20462693000141;FISIOCENTRO CONSULTORIO DE FISIOTERAPIA LTDA;01/08/2025;31/07/2030;jul/26
LESTE DO SUL;MANHUACU;MANHUACU;LABORATORIO;7512023;18860718000113;LABORATORIO SAO LOURENCO LTDA;02/09/2023;31/08/2028;jul/26
SUDESTE;CATAGUASES;LEOPOLDINA;LABORATORIO;2862024;01038735000177;HEMOGRAMA ANALISES CLINICAS LTDA;01/04/2024;30/09/2026;jul/26
OESTE;BOM DESPACHO;LUZ;HOSPITAL/FUNDACAO;4572024;22216477000141;HOSPITAL SENHORA APARECIDA;01/06/2024;31/05/2029;jul/26
SUDESTE;JUIZ DE FORA;JUIZ DE FORA;LABORATORIO;8642023;21454699000130;LABORATORIO LAWALL DE ANALISES CLINICAS LTDA;01/10/2023;30/09/2028;jul/26
SUDESTE;JUIZ DE FORA;JUIZ DE FORA;LABORATORIO;11312024;21177670000158;CEDAC CENTRO DIAGNOSTICO DE ANALISES CLINICAS LTDA;30/12/2024;31/05/2027;jul/26
OESTE;ITAUNA;ITAUNA;LABORATORIO;8042023;20901435000114;ECO VITA DIAGNOSTICO LTDA;16/09/2023;31/08/2028;jul/26
LESTE;IPATINGA;IPATINGA;LABORATORIO;7062024;19866763000148;LABORATORIO OSVALDO CRUZ DE IPATINGA LTDA;09/08/2024;31/01/2027;jul/26
CENTRO;ITABIRA;ITABIRA;LABORATORIO;822022;16845653000101;LABORATORIO DUARTE LTDA;25/01/2022;31/12/2026;jul/26
CENTRO;GUANHAES;GUANHAES;HOSPITAL/FUNDACAO;8642025;20724357000120;ASSOCIACAO DE CARIDADE NOSSA SENHORA DO CARMO;01/09/2025;31/08/2030;jul/26
SUDESTE;CARANGOLA;ESPERA FELIZ;HOSPITAL/FUNDACAO;5182022;18115071000103;HOSPITAL DE ESPERA FELIZ;01/08/2022;31/07/2027;jul/26
